technique_id,name,current_aliases,aliases_to_add,aliases_new_cell
butterfly-sweep-basic,Basic Butterfly Sweep,Hook sweep; Sumi-gaeshi-style sweep,Butterfly Hook Sweep; Marcelo Sweep,Hook sweep; Sumi-gaeshi-style sweep; Butterfly Hook Sweep; Marcelo Sweep
calf-slicer-half-guard,Calf Slicer from Half Guard,Calf crusher; Knee compression,Half Guard Calf Slicer,Calf crusher; Knee compression; Half Guard Calf Slicer
calf-slicer-truck,Calf Slicer from the Truck,Truck calf crank,Truck Roll,Truck calf crank; Truck Roll
cartwheel-pass,Cartwheel Pass,Aerial cartwheel pass,Roll Over Pass; Cartwheeling Over Guard,Aerial cartwheel pass; Roll Over Pass; Cartwheeling Over Guard
clock-choke-turtle,Clock Choke,Turtle clock choke,Clock Choke from Turtle,Turtle clock choke; Clock Choke from Turtle
closed-guard-arm-drag-back-take,Closed-Guard Arm-Drag Back Take,Two-on-one back take,Guard Arm Drag Back Take; Arm Drag Back Take from Guard,Two-on-one back take; Guard Arm Drag Back Take; Arm Drag Back Take from Guard
closed-guard-elbow-knee-break,Elbow-to-Knee Closed-Guard Break,Knee wedge opening,Posture Break; Elbow Push Guard Break,Knee wedge opening; Posture Break; Elbow Push Guard Break
closed-guard-knee-tailbone-break,Knee-in-Tailbone Guard Break,Seated guard opening,Knee Slice Guard Open; Torreando Guard Open,Seated guard opening; Knee Slice Guard Open; Torreando Guard Open
closed-guard-overhook-control,Closed-Guard Overhook Control,Overhook guard; Clamp,Whizzer Guard,Overhook guard; Clamp; Whizzer Guard
closed-guard-standing-break,Standing Closed-Guard Break,Stand-to-open guard,Stand and Break Guard; Stand to Break,Stand-to-open guard; Stand and Break Guard; Stand to Break
crab-ride-control,Crab-Ride Control,Double outside hooks; Hip ride,Back Exposure; Rodeo Ride,Double outside hooks; Hip ride; Back Exposure; Rodeo Ride
cross-ashi-saddle-control,Cross Ashi / Saddle Control,Saddle; 411; Inside sankaku,Honey Hole,Saddle; 411; Inside sankaku; Honey Hole
cross-collar-choke-closed-guard,Cross-Collar Choke from Closed Guard,X choke; Nami juji jime; Gyaku-juji-jime variation,Cross Choke from Guard; Juji Jime,X choke; Nami juji jime; Gyaku-juji-jime variation; Cross Choke from Guard; Juji Jime
cross-collar-choke-mount,Cross-Collar Choke from Mount,X choke from mount; Nami-juji-jime; Gyaku-juji-jime variation,Cross Choke from Mount; Mount Cross Choke,X choke from mount; Nami-juji-jime; Gyaku-juji-jime variation; Cross Choke from Mount; Mount Cross Choke
crucifix-armbar,Armbar from Crucifix,Crucifix straight arm lock; Juji-gatame family,Crucifix Armbar,Crucifix straight arm lock; Juji-gatame family; Crucifix Armbar
crucifix-from-turtle,Crucifix from Turtle,Rear crucifix,Turtle to Crucifix,Rear crucifix; Turtle to Crucifix
de-la-riva-berimbolo,De La Riva Berimbolo,Bolo; Inverted back take,Inversão,Bolo; Inverted back take; Inversão
deep-half-waiter-sweep,Deep-Half Waiter Sweep,Waiter lift from deep half,Jeff Glover Sweep,Waiter lift from deep half; Jeff Glover Sweep
dogfight-limp-arm-backtake,Dogfight Limp-Arm Back Take,Limp-arm from half guard,Dogfight Back Take; Underhook Back Take from Half,Limp-arm from half guard; Dogfight Back Take; Underhook Back Take from Half
dogfight-old-school-sweep,Old-School Sweep,Toe grab sweep; Old school,Hip Heist Sweep,Toe grab sweep; Old school; Hip Heist Sweep
dogfight-plan-b-sweep,Plan B Sweep,Roll-under dogfight sweep,Half Guard Plan B; Roll-Over Sweep from Half,Roll-under dogfight sweep; Half Guard Plan B; Roll-Over Sweep from Half
double-under-pass,Double-Under Pass,Double-under stack pass,Both Legs Under,Double-under stack pass; Both Legs Under
duck-under,Duck-Under,Duckunder; Inside tie duck,Duck Under to Back,Duckunder; Inside tie duck; Duck Under to Back
electric-chair-sweep,Electric Chair Sweep,Lockdown leg-underhook sweep,Grapevine Stretch; Half Guard Electric Chair; Lockdown Electric Chair; Stretch from Lockdown,Lockdown leg-underhook sweep; Grapevine Stretch; Half Guard Electric Chair; Lockdown Electric Chair; Stretch from Lockdown
estima-lock,Estima Lock,Inverted toe hold from top,Estima Footlock,Inverted toe hold from top; Estima Footlock
ezekiel-choke-mount,Ezekiel Choke from Mount,Sode guruma jime,Sode Guruma Jime from Mount; Mount Ezekiel,Sode guruma jime; Sode Guruma Jime from Mount; Mount Ezekiel
fifty-fifty-heel-hook,Heel Hook from 50/50,Fifty-fifty outside heel hook,50/50 Heel Hook,Fifty-fifty outside heel hook; 50/50 Heel Hook
forward-shoulder-roll,Forward Shoulder Roll,Forward roll; Zenpo kaiten ukemi,Mae Ukemi; Forward Breakfall,Forward roll; Zenpo kaiten ukemi; Mae Ukemi; Forward Breakfall
front-headlock-go-behind,Front Headlock Go-Behind,Spin behind; Circling go-behind,Go Behind Back Take; Go-Behind in Scramble,Spin behind; Circling go-behind; Go Behind Back Take; Go-Behind in Scramble
granby-guard-recovery,Granby Guard Recovery,Shoulder roll recovery,Sit-Out Roll; Back Roll Recovery,Shoulder roll recovery; Sit-Out Roll; Back Roll Recovery
guillotine-closed-guard,Guillotine from Closed Guard,Front choke; Arm-in guillotine,Guard Guillotine; Mae Hadaka Jime,Front choke; Arm-in guillotine; Guard Guillotine; Mae Hadaka Jime
guillotine-front-headlock,Guillotine from Front Headlock,High-elbow guillotine; Marcelotine,Top Turtle Guillotine; Arm-In Guillotine from Turtle,High-elbow guillotine; Marcelotine; Top Turtle Guillotine; Arm-In Guillotine from Turtle
half-guard-guillotine,Guillotine from Half Guard,Half-guard front choke,Half Guard Guillotine,Half-guard front choke; Half Guard Guillotine
half-guard-kimura-sweep,Half-Guard Kimura Sweep,Kimura trap sweep; Ude-garami family,Half Guard Kimura,Kimura trap sweep; Ude-garami family; Half Guard Kimura
headquarters-backstep,Headquarters Backstep Pass,Backstep from HQ,Backstep Pass,Backstep from HQ; Backstep Pass
headquarters-position,Headquarters Passing Position,HQ position; Split squat passing,HQ Pass; 3/4 Mount Pass,HQ position; Split squat passing; HQ Pass; 3/4 Mount Pass
high-knee-shield-recovery,High Knee-Shield Recovery,High Z guard,Re-Establish Knee Shield,High Z guard; Re-Establish Knee Shield
high-mount-control,High Mount Control,Armpit mount; High tate-shiho-gatame,Chest Mount; High Guard Mount,Armpit mount; High tate-shiho-gatame; Chest Mount; High Guard Mount
hip-bump-kimura-combo,Hip-Bump to Kimura,Kimura trap from sit-up sweep; Ude-garami family,Sit-Up Sweep to Kimura,Kimura trap from sit-up sweep; Ude-garami family; Sit-Up Sweep to Kimura
hip-escape-guard-recovery,Hip-Escape Guard Recovery,Shrimp to guard; Elbow escape movement; Ebi movement (Japanese shrimping),Shrimp; Ebi,Shrimp to guard; Elbow escape movement; Ebi movement (Japanese shrimping); Shrimp; Ebi
inside-heel-hook-saddle,Inside Heel Hook from Saddle,Inside heel hook; Reverse heel hook,Honey Hole Heel Hook; Inside Sankaku Heel Hook; IHH,Inside heel hook; Reverse heel hook; Honey Hole Heel Hook; Inside Sankaku Heel Hook; IHH
ippon-seoi-nage,Ippon Seoi Nage,One-arm shoulder throw,Seoi Nage from Clinch,One-arm shoulder throw; Seoi Nage from Clinch
kesa-gatame-control,Kesa Gatame Control,Scarf hold,Headlock Control,Scarf hold; Headlock Control
kimura-closed-guard,Kimura from Closed Guard,Figure-four shoulder lock; Ude garami; Ude-garami family,Double Wristlock from Guard; Figure-Four from Guard; Double Wristlock; Gyaku Ude Garami,Figure-four shoulder lock; Ude garami; Ude-garami family; Double Wristlock from Guard; Figure-Four from Guard; Double Wristlock; Gyaku Ude Garami
kimura-side-control,Kimura from Side Control,Reverse figure-four; Ude garami; Ude-garami family,Side Kimura,Reverse figure-four; Ude garami; Ude-garami family; Side Kimura
knee-cut-pass,Knee-Cut Pass,Knee slice; Knee-through pass,Knee Slide Pass,Knee slice; Knee-through pass; Knee Slide Pass
knee-cut-underhook-pass,Underhook Knee-Cut Pass,Crossface knee slice,Underhook Guard Pass,Crossface knee slice; Underhook Guard Pass
knee-push-sweep-closed-guard,Knee-Push Sweep,Push sweep; Scissor variation,Hip Heist Sweep from Guard,Push sweep; Scissor variation; Hip Heist Sweep from Guard
knee-shield-leg-weave-pass,Knee-Shield Leg-Weave Pass,Z-guard weave,Leg Drag from Half; Leg Weave Half Guard Pass,Z-guard weave; Leg Drag from Half; Leg Weave Half Guard Pass
knee-shield-over-under-pass,Knee-Shield Over-Under Pass,Z-guard pressure pass,Over-Under from Half; O/U Half Pass,Z-guard pressure pass; Over-Under from Half; O/U Half Pass
knee-shield-smash-pass,Knee-Shield Smash Pass,Z-guard smash,Knee Slice from Half; Smash Pass from Half,Z-guard smash; Knee Slice from Half; Smash Pass from Half
kneebar-from-bottom-half,Kneebar from Bottom Half Guard,Rolling kneebar; Half-guard kneebar,Kneebar Roll Entry,Rolling kneebar; Half-guard kneebar; Kneebar Roll Entry
kneebar-saddle,Kneebar from Saddle,Straight knee bar from cross ashi,Hiza Hishigi; Straight Kneebar,Straight knee bar from cross ashi; Hiza Hishigi; Straight Kneebar
lasso-guard-sweep,Lasso Guard Sweep,Lasso tilt sweep,Lasso Sweep,Lasso tilt sweep; Lasso Sweep
leg-drag-pass,Leg-Drag Pass,Outside leg drag,Leg Drag,Outside leg drag; Leg Drag
lockdown-whip-up,Lockdown Whip-Up,Whip-up underhooks,Lockdown Whip Up Sweep,Whip-up underhooks; Lockdown Whip Up Sweep
long-step-pass,Long-Step Pass,Long backstep pass,Long Step Around,Long backstep pass; Long Step Around
loop-choke-closed-guard,Loop Choke from Closed Guard,Looping collar choke,Lasso Loop Choke; Guard Loop Choke; Running Loop Choke,Looping collar choke; Lasso Loop Choke; Guard Loop Choke; Running Loop Choke
lumberjack-sweep-closed-guard,Lumberjack Sweep,Double-ankle sweep,Overhead Collar Sweep,Double-ankle sweep; Overhead Collar Sweep
mount-elbow-knee-escape,Elbow–Knee Mount Escape,Shrimp escape; Knee-elbow escape; Ebi escape (Japanese shrimping),Hip Escape from Mount; Shrimping Out of Mount,Shrimp escape; Knee-elbow escape; Ebi escape (Japanese shrimping); Hip Escape from Mount; Shrimping Out of Mount
mount-heel-drag-escape,Heel-Drag Mount Escape,Foot-drag mount escape,Leg Hook Escape; Heel Drag Escape,Foot-drag mount escape; Leg Hook Escape; Heel Drag Escape
mount-trap-roll-escape,Trap-and-Roll Mount Escape,Upa escape,Trap and Roll,Upa escape; Trap and Roll
mounted-triangle,Mounted Triangle,Top triangle; Mounted sankaku; Sankaku-jime family,Triangle Choke from Mount; Triangle Setup from Side Control,Top triangle; Mounted sankaku; Sankaku-jime family; Triangle Choke from Mount; Triangle Setup from Side Control
mounted-wristlock,Wrist Lock from Mount,Gooseneck wrist lock,Mount Wrist Lock,Gooseneck wrist lock; Mount Wrist Lock
north-south-armbar,Armbar from North–South,Spinning north-south armbar; Juji-gatame family,NS Armbar,Spinning north-south armbar; Juji-gatame family; NS Armbar
north-south-choke,North–South Choke,North-south strangulation,NS Choke,North-south strangulation; NS Choke
north-south-kimura,Kimura from North–South,North-south figure-four; Ude-garami family,NS Kimura,North-south figure-four; Ude-garami family; NS Kimura
north-south-to-mount,North–South to Mount,Head-side mount transition,NS to Mount Transition,Head-side mount transition; NS to Mount Transition
omoplata-closed-guard,Omoplata from Closed Guard,Shoulder entanglement,Shoulder Lock from Guard; Ashi Sankaku from Guard; Shoulder Lock,Shoulder entanglement; Shoulder Lock from Guard; Ashi Sankaku from Guard; Shoulder Lock
outside-ashi-control,Outside Ashi Control,Outside ashi garami; Double outside ashi,Reverse Ashi Garami; Outside Ashi,Outside ashi garami; Double outside ashi; Reverse Ashi Garami; Outside Ashi
outside-heel-hook-outside-ashi,Outside Heel Hook from Outside Ashi,Outside heel hook,Outside Ashi Heel Hook; Reverse Ashi Heel Hook; OHH,Outside heel hook; Outside Ashi Heel Hook; Reverse Ashi Heel Hook; OHH
over-under-pass,Over-Under Pass,Pressure pass,Rodolfo Vieira Pass; O/U Pass,Pressure pass; Rodolfo Vieira Pass; O/U Pass
paper-cutter-choke,Paper-Cutter Choke,Bread-cutter choke,Bread Cutter; Paper Cutter; Lapel Choke from Side,Bread-cutter choke; Bread Cutter; Paper Cutter; Lapel Choke from Side
pendulum-sweep-closed-guard,Pendulum Sweep,Flower sweep; Underhook leg sweep,Sickle Sweep from Closed Guard,Flower sweep; Underhook leg sweep; Sickle Sweep from Closed Guard
reverse-de-la-riva-tripod-sweep,Reverse De La Riva Tripod Sweep,RDLR tilt sweep,RDLR Sweep,RDLR tilt sweep; RDLR Sweep
reverse-kesa-gatame,Reverse Kesa Gatame,Reverse scarf hold,Gyaku Kesa; Reverse Side Control Transition,Reverse scarf hold; Gyaku Kesa; Reverse Side Control Transition
rubber-guard-mission-control,Rubber Guard Mission Control,High guard overhook,High Guard; Zombie Position,High guard overhook; High Guard; Zombie Position
scissor-sweep-closed-guard,Scissor Sweep,Knee-shield scissor sweep,Scissors Sweep; Kani Basami Sweep,Knee-shield scissor sweep; Scissors Sweep; Kani Basami Sweep
seatbelt-back-control,Seatbelt Back Control,Harness; Over-under back control,Seatbelt Grip; Over-Under Hooks,Harness; Over-under back control; Seatbelt Grip; Over-Under Hooks
shin-to-shin-control,Shin-to-Shin Guard Control,Shin-on-shin guard,Knee Battle Guard,Shin-on-shin guard; Knee Battle Guard
shoulder-crunch-sweep-closed-guard,Shoulder-Crunch Sweep from Closed Guard,Shoulder clamp sweep,Chicken Wing; Shoulder Lock Pinch,Shoulder clamp sweep; Chicken Wing; Shoulder Lock Pinch
side-control-elbow-push-escape,Elbow-Push Side-Control Escape,Elbow escape; Marcelo-style elbow push,Push Frame Escape from Side,Elbow escape; Marcelo-style elbow push; Push Frame Escape from Side
side-control-frame-hip-escape,Frame-and-Hip-Escape from Side Control,Shrimp escape to guard; Ebi escape (Japanese shrimping),Frame Escape from Side,Shrimp escape to guard; Ebi escape (Japanese shrimping); Frame Escape from Side
side-control-ghost-escape,Ghost Escape,Under-arm spin escape,Leg Through Escape; Zombie Escape,Under-arm spin escape; Leg Through Escape; Zombie Escape
side-control-knee-on-belly,Side Control to Knee-on-Belly,Knee ride transition,KOB from Side,Knee ride transition; KOB from Side
side-control-near-side-armbar,Near-Side Armbar from Side Control,Near arm juji gatame; Juji-gatame family,Near Side Armbar,Near arm juji gatame; Juji-gatame family; Near Side Armbar
side-control-to-mount,Side Control to Mount,Knee-slide mount transition,Step Over to Mount from Side,Knee-slide mount transition; Step Over to Mount from Side
side-control-to-north-south,Side Control to North–South,Head-switch transition,Side to North-South Transition,Head-switch transition; Side to North-South Transition
side-control-top-backtake,Side-Control Back Take,Chair-sit from side pin,Side Control to Back; Back Take from Side,Chair-sit from side pin; Side Control to Back; Back Take from Side
side-control-wristlock,Wrist Lock from Side Control,Gooseneck wrist lock,Side Wrist Lock; Kote Gaeshi; Wrist Bend,Gooseneck wrist lock; Side Wrist Lock; Kote Gaeshi; Wrist Bend
single-leg-outside,Outside Single-Leg,Head-inside single; Sweep single entry; Kuchiki-taoshi (Japanese one-hand drop),High Single,Head-inside single; Sweep single entry; Kuchiki-taoshi (Japanese one-hand drop); High Single
sliding-collar-choke-back,Sliding-Collar Choke from Back,Okuri eri jime,Single Collar Back Choke,Okuri eri jime; Single Collar Back Choke
smash-pass,Smash Pass,Double-leg smash; Hip-switch pass,Leg Drag Smash,Double-leg smash; Hip-switch pass; Leg Drag Smash
spider-guard-omoplata,Spider Guard Omoplata,Spider shoulder lock,Spider to Omoplata,Spider shoulder lock; Spider to Omoplata
spider-guard-triangle,Spider Guard Triangle,Spider triangle choke; Sankaku-jime family,Spider to Triangle,Spider triangle choke; Sankaku-jime family; Spider to Triangle
spider-guard-tripod-sweep,Spider Guard Tripod Sweep,Spider ankle sweep,Spider Tripod Sweep,Spider ankle sweep; Spider Tripod Sweep
squid-guard-control,Squid Guard Control,Lapel-under-leg guard,Squid Guard Lapel,Lapel-under-leg guard; Squid Guard Lapel
standing-arm-drag,Standing Arm Drag,Two-on-one drag,Arm Drag to Single; Clinch Arm Drag to Back,Two-on-one drag; Arm Drag to Single; Clinch Arm Drag to Back
straight-ankle-lock-slx,Straight Ankle Lock from Single-Leg X,Achilles lock; Straight foot lock; Straight ashi-garami foot lock,SLX Ankle Lock,Achilles lock; Straight foot lock; Straight ashi-garami foot lock; SLX Ankle Lock
straight-armbar-side-control,Straight Armbar from Side Control,Ude gatame; Paintbrush straight armbar; Juji-gatame family,Standing Armbar,Ude gatame; Paintbrush straight armbar; Juji-gatame family; Standing Armbar
technical-mount-bow-arrow,Bow-and-Arrow Choke from Technical Mount,Technical-mount collar choke,Mount Bow and Arrow,Technical-mount collar choke; Mount Bow and Arrow
technical-mount-control,Technical Mount Control,Modified mount; Side mount,Single Arm Trap Mount,Modified mount; Side mount; Single Arm Trap Mount
technical-standup,Technical Stand-Up,Combat base stand-up; Technical lift,Base Recovery; Stand-Up in Base,Combat base stand-up; Technical lift; Base Recovery; Stand-Up in Base
triangle-closed-guard,Triangle Choke from Closed Guard,Sankaku jime; Front triangle; Sankaku-jime family,Sankaku-Jime from Guard; Triangle from Guard,Sankaku jime; Front triangle; Sankaku-jime family; Sankaku-Jime from Guard; Triangle from Guard
turtle-chair-sit-backtake,Chair-Sit Back Take from Turtle,Turtle chair sit,Turtle Back Take,Turtle chair sit; Turtle Back Take
turtle-seatbelt-control,Seatbelt Control from Turtle,Harness from turtle,Hook Insertion from Turtle,Harness from turtle; Hook Insertion from Turtle
turtle-spiral-ride,Spiral Ride,Inside-thigh spiral; Wrestling spiral,Spiral Ride Control; Bar Arm Spiral,Inside-thigh spiral; Wrestling spiral; Spiral Ride Control; Bar Arm Spiral
turtle-standup-escape,Stand-Up from Turtle,Base-up escape; Quadpod stand,Pop-Up from Turtle,Base-up escape; Quadpod stand; Pop-Up from Turtle
turtle-switch-escape,Standing Switch from Turtle,Wrestling switch,Base Switch,Wrestling switch; Base Switch
worm-guard-control,Worm Guard Control,Lapel wrap guard,Lapel Guard; Keenan Worm Guard,Lapel wrap guard; Lapel Guard; Keenan Worm Guard
worm-guard-sweep,Worm Guard Sweep,Lapel tilt sweep,Lapel Guard Sweep,Lapel tilt sweep; Lapel Guard Sweep
